name,abs,link
Walking Trajectory Design of Hydraulic Legged Robot with Limited Powered Pump,"A hydraulic drive system can generate a large force and is impact resistant. Thus, robots that utilize hydraulic drive systems have been developed for use in disaster areas. In a hydraulic drive system, it is necessary to design the motion of the robot within the capacity of the pump unit, but it is generally difficult to predict the required flow rate and pressure. Especially for hydraulically driven legged robots, the periodic significant changes in the required flow rate and pressure can make it difficult to select a pump and design the leg operation within pump capacity. Therefore, most operations are not designed in full consideration of the characteristics of the pump. By designing the operation of the robot considering the characteristics of the pump, improvements in energy efficiency and working speed can be expected. In this study, we theoretically derive the relationship between the leg motion of the hydraulic leg robot and the required pressure and flow rate. Based on the results, a method for designing the operation considering the characteristics of the pump is proposed, and its validity is experimentally confirmed.",https://ieeexplore.ieee.org/document/9561988/
Automatic Gait Pattern Selection for Legged Robots,"An important issue when synthesizing legged locomotion plans is the combinatorial complexity that arises from gait pattern selection. Though it can be defined manually, the gait pattern plays an important role in the feasibility and optimality of a motion with respect to a task. Replacing human intuition with an automatic and efficient approach for gait pattern selection would allow for more autonomous robots, responsive to task and environment changes. To this end, we propose the idea of building a map from task to gait pattern selection for given environment and performance objective. Indeed, we show that for a 2D half-cheetah model and a quadruped robot, a direct mapping between a given task and an optimal gait pattern can be established. We use supervised learning to capture the structure of this map in a form of gait regions. Furthermore, we propose to construct a warm-starting trajectory for each gait region. We empirically show that these warm-starting trajectories improve the convergence speed of our trajectory optimization problem up to 60 times when compared with random initial guesses. Finally, we conduct experimental trials on the ANYmal robot to validate our method.",https://ieeexplore.ieee.org/document/9340789/
Detecting Usable Planar Regions for Legged Robot Locomotion,"Awareness of the environment is essential for mobile robots. Perception for legged robots requires high levels of reliability and accuracy in order to walk stably in the types of complex, cluttered environments we are interested in. In this paper, we present a usable environmental perception algorithm designed to detect steppable areas and obstacles for the autonomous generation of desired footholds for legged robots. To produce an efficient representation of the environment, the proposed perception algorithm is desired to cluster point cloud data to planar regions composed of convex polygons. We describe in this paper the end-to-end pipeline from data collection to generation of the regions, where we first compose an octree in order to create a more efficient data representation. We then group the leaves in the tree using a nearest neighbor search into a planar region, which is composed of the concave hull of points that is decomposed into convex polygons. We present a variety of environments, and illustrate the usability of this approach by the Atlas humanoid robots walking over rough terrain. We also discuss various challenges we faced and insights we gained in the development of this approach.",https://ieeexplore.ieee.org/document/9341000/
Wheel-Legged Robotic Limb to Assist Human with Load Carriage: An Application for  Environmental Disinfection During COVID-19,"During COVID-19, with a heavy sprayer filled with disinfectant, the risk of infection for epidemic prevention personnel has been increased by long-term environmental disinfection. In order to reduce the burden and save energy of human, this letter proposed a Wheel-Legged Robotic Limb (WRL) for the carriers. The mass of WRL is only 1.77 kg. The WRL has one rigid robotic limb located below the sprayer, which can provide active supporting force for the sprayer. The WRL adopts force closed-loop control method to ensure the system provide an expected supporting force. The system performance was evaluated including standing and walking at 5 km/h, under three experimental conditions included: 1) with a sprayer, 19.41 kg (SPRAYER), 2) with the powered WRL, 22.18 kg (WRL_ON), and 3) with the unpowered WRL, 22.18 kg (WRL_OFF). When the supporting force is set as 80 N, the experimental results show that the WRL_ON condition has reduced the vertical load force on the human, the vertical ground reaction force of human feet, and the metabolic power by 41.28%, 8.03%, and 17.46% during standing, and also reduced by 32.29%, 8.08% and 18.92% during walking, compared to SPRAYERcondition, respectively.",https://ieeexplore.ieee.org/document/9376605/
A Novel Model Predictive Control Framework Using Dynamic Model Decomposition Applied to  Dynamic Legged Locomotion,"Dynamic locomotion for legged robots is difficult because the system dynamics are highly nonlinear and complex, nominally underactuated and unstable, multi-input and multi-output, as well as time-variant and hybrid. One usually faces the choice between the intricate full-body dynamics which remains computationally expensive and sometimes even intractable, and the empirically simplified model which inevitably limits the locomotion capability. In this paper, we explore the legged robot dynamics from a different perspective. By decomposing the robot into the body and the legs, with interaction forces and moments connecting them, we enjoy a novel method called Dynamic Model Decomposition that involves lower-dimensional dynamics for each subsystem while their composition maintaining the equivalence to the original full-order robot model. Based on that, we further propose a corresponding model predictive control framework via quadratic programming, which con-siders linearly approximated body dynamics with constrained leg reaction forces as inputs. The overall methodology was successfully applied to a planar five-link biped robot. The simulation results show that the robot is capable of body reference tracking, push recovery, velocity tracking, and even blind locomotion on fairly rough terrain. This suggests a promising dynamic motion control scheme in the future.",https://ieeexplore.ieee.org/document/9561499/
the Soft-Landing Problem: Minimizing Energy Loss by a Legged Robot Impacting Yielding Terrain,"Enabling robots to walk and run on yielding terrain is vital to endeavors ranging from disaster response to extraterrestrial exploration. While dynamic legged locomotion on rigid ground is challenging enough, yielding terrain presents additional challenges such as ground deformation which dissipates energy. In this paper, we examine the soft-landing problem: given some impact momentum, bring the robot to rest while minimizing foot penetration depth. To gain insight into properties of penetration depth-minimizing control policies, we formulate a constrained optimal control problem and obtain a bang-bang open-loop force profile. Motivated by examples from biology and recent advances in legged robotics, we also examine impedance-control solutions to the soft-landing problem. Through simulations and experiments, we find that optimal impedance reduces penetration depth nearly as much as the open-loop force profile, while remaining robust to model uncertainty. Lastly, we discuss the relevance of this work to minimum-cost-of-transport locomotion for several actuator design choices.",https://ieeexplore.ieee.org/document/9018262/
Energy Efficient Navigation for Running Legged Robots,"Energy-efficient navigation is an important technology for mobile robots because of its potential to increase the operation time of the robot. In particular, when coupled with a dynamic legged quadruped, the need for energy savings is made more apparent as payloads are limited. Due to the complexity in modeling motion and power models of these robots, a new approach is necessary to effectively motion plan for these complex robots. We accomplish this by using Sampling-Based Model Predictive optimization (SBMPO) which was extended for use on the LLAMA quadrupedal platform in simulation. SBMPO allows for direct generation of trajectories while using a heuristic-based search to speed up computations. This approach is shown to effectively motion plan while optimizing for energy consumption and maintaining the natural dynamics of the robot in a simulated environment.",https://ieeexplore.ieee.org/document/8793599/
Optimal Estimation of the Centroidal Dynamics of Legged Robots,"Estimating the centroidal dynamics of legged robots is crucial in the context of multi-contact locomotion of legged robots. In this paper, we formulate the estimation of centroidal dynamics as a maximum a posteriori problem and we use a differential dynamic programming approach for solving it. The soundness of the proposed approach is first validated on a simulated humanoid robot, where ground truth data is available, enabling error analysis, and then compared to other alternatives of the state of the art, namely an extend Kalman filter and a recursive complementary filter. The results demonstrate that, compared to other approaches, the proposed method reduces the estimation error on the centroidal state in addition to ensuring the dynamics consistency of the state trajectory. Finally, the effectiveness of the proposed method is illustrated on real measurements, obtained from walking experiments with the HRP-2 humanoid robot.",https://ieeexplore.ieee.org/document/9561993/
Optimization-Inspired Controller Design for Transient Legged Locomotion,"For robots to leave the safety of the laboratory and explore the world, maneuverability will need to be mastered. However, transient motions, such as rapid acceleration and deceleration, have received little attention in the literature. This is mainly due to the complexity of analyzing these high dimensional systems that have no closed-form solution which makes controller design a non-trivial task. One method is to utilize heuristic control inspired by animal locomotion (or intuition), but these may not be optimal for a given task. Here, we take the novel approach and leverage trajectory optimization methods to enable us to identify heuristic controllers for the task of transient locomotion. Specifically, we investigate acceleration to a steady-state gait as well as decelerating from a steady-state gait to rest. These identified heuristic controllers were then validated on a hybrid pneumatic-electric monopod robot. Our initial results indicate that a Raibert controller is in fact the energy optimal policy for transient maneuvers.",https://ieeexplore.ieee.org/document/9560759/
Online Gait Transitions and Disturbance Recovery for Legged Robots via the Feasible Impulse Set,"Gaits in legged robots are often hand tuned and time based, either explicitly or through an internal clock, for instance, in the form of central pattern generators. This strategy requires trial and error to identify leg timings, which may not be suitable in challenging terrains. In this letter, we introduce new concepts to quantify leg capabilities for online gait emergence and adaptation, without fixed timings or predefined foothold sequences. Specifically, we introduce the Feasible Impulse Set, a notion that extends aspects of the classical wrench cone to include a prediction horizon into the future. By considering the impulses that can be delivered by the legs, quantified notions of leg utility are proposed for coordinating adaptive lift-off and touch-down of stance legs. The proposed methods provide push recovery and emergent gait transitions with speed. These advances are validated in experiments with the MIT Cheetah 3 robot, where the framework is shown to automatically coordinate aperiodic behaviors on a partially moving walkway.",https://ieeexplore.ieee.org/document/8630416/
Planning in Learned Latent Action Spaces for Generalizable Legged Locomotion,"Hierarchical learning has been successful at learning generalizable locomotion skills on walking robots in a sample-efficient manner. However, the low-dimensional “latent” action used to communicate between two layers of the hierarchy is typically user-designed. In this letter, we present a fully-learned hierarchical framework, that is capable of jointly learning the low-level controller and the high-level latent action space. Once this latent space is learned, we plan over continuous latent actions in a model-predictive control fashion, using a learned high-level dynamics model. This framework generalizes to multiple robots, and we present results on a Daisy hexapod simulation, A1 quadruped simulation, and Daisy robot hardware. We compare a range of learned hierarchical approaches from literature, and show that our framework outperforms baselines on multiple tasks and two simulations. In addition to learning approaches, we also compare to inverse-kinematics (IK) acting on desired robot motion, and show that our fully-learned framework outperforms IK in adverse settings on both A1 and Daisy simulations. On hardware, we show the Daisy hexapod achieve multiple locomotion tasks, in an unstructured outdoor setting, with only 2000 hardware samples, reinforcing the robustness and sample-efficiency of our approach.",https://ieeexplore.ieee.org/document/9363629/
Variable Configuration Planner for Legged-Rolling Obstacle Negotiation Locomotion: Application on the CENTAURO Robot,"Hybrid legged-wheeled robots are able to adapt their leg configuration and height to vary their footprint polygons and go over obstacles or traverse narrow spaces. In this paper, we present a variable configuration wheeled motion planner based on the A* algorithm. It takes advantage of the agility of hybrid wheeled-legged robots and plans paths over low-lying obstacles and in narrow spaces. By imposing a symmetry on the robot polygon, the computed plans lie in a low-dimensional search space that provides the robot with configurations to safely negotiate obstacles by expanding or shrinking its footprint polygon. The introduced autonomous planner is demonstrated using simulations and real-world experiments with the CENTAURO robot.",https://ieeexplore.ieee.org/document/8968014/
Agile Legged-Wheeled Reconfigurable Navigation Planner Applied on the CENTAURO Robot,"Hybrid legged-wheeled robots such as the CEN-TAURO, are capable of varying their footprint polygon to carry out various agile motions. This property can be advantageous for wheeled-only planning in cluttered spaces, which is our focus. In this paper, we present an improved algorithm that builds upon our previously introduced preliminary footprint varying A* planner, which was based on the rectangular symmetry of the foot support polygon. In particular, we introduce a Theta* based planner with trapezium-like search, which aims to further reduce the limitations imposed upon the wheeled-only navigation of the CENTAURO robot by the low-dimensional search space, maintaining the real-time computational efficiency. The method is tested on the simulated and real full-size CENTAURO robot in cluttered environments.",https://ieeexplore.ieee.org/document/9197407/
Zero-Shot Imitation Learning from Demonstrations for Legged Robot Visual Navigation,"Imitation learning is a popular approach for training effective visual navigation policies. However, collecting expert demonstrations for legged robots is challenging as these robots can be hard to control, move slowly, and cannot operate continuously for long periods of time. In this work, we propose a zero-shot imitation learning framework for training a goal-driven visual navigation policy on a legged robot from human demonstrations (third-person perspective), allowing for high-quality navigation and cost-effective data collection. However, imitation learning from third-person demonstrations raises unique challenges. First, these demonstrations are captured from different camera perspectives, which we address via a feature disentanglement network (FDN) that extracts perspective-invariant state features. Second, as transition dynamics vary between systems, we reconstruct missing action labels by either building an inverse model of the robot's dynamics in the feature space and applying it to the human demonstrations or developing a Graphic User Interface (GUI) to label human demonstrations. To train a navigation policy we use a model-based imitation learning approach with FDN and action-labeled human demonstrations. We show that our framework can learn an effective policy for a legged robot, Laikago, from human demonstrations in both simulated and real-world environments. Our approach is zero-shot as the robot never navigates the same paths during training as those at testing time. We justify our framework by performing a comparative study.",https://ieeexplore.ieee.org/document/9196602/
Impact Mitigation for Dynamic Legged Robots with Steel Wire Transmission Using Nonlinear Active  Compliance Control,"Impact mitigation is crucial to the stable locomotion of legged robots, especially in high-speed dynamic locomotion. This paper presents a leg locomotion system, including the nonlinear active compliance control and the active impedance control for the steel wire transmission-based legged robot. The developed control system enables high-speed dynamic locomotion with excellent impact mitigation and leg position tracking performance, where three strategies are applied. a) The feed-forward controller is designed according to the linear motor-leg model with the information of Coulomb friction and viscous friction. b) Steel wire transmission model-based compensation guarantees ideal virtual spring compliance characteristics. c) Nonlinear active compliance control and active impedance control ensure better impact mitigation performance than linear scheme and guarantee position tracking performance. The proposed control system is verified on a real robot named SCIT Dog, and the experiment demonstrates the ideal impact mitigation ability in high-speed dynamic locomotion without any passive spring mechanism.",https://ieeexplore.ieee.org/document/9561641/
Configuration Transformation of the Wheel-Legged Robot Using Inverse Dynamics Control,"In this paper, the configuration transformation of Wheel-Legged Robot (WLR) is studied, which can enable the robot to change its multilinks configuration on Inverted Equilibrium Manifold (IEM), while keeping balance with a small location drift on the floor. First of all, the general form of dynamics equation of planar Articulated Wheeled Inverted Pendulum (AWIP) with a wheel and n − 1 rigid links, is derived. The Partial Feedback Linearization (PFL) combined with a Sliding Mode Control (SMC) is used to design the inverse dynamics controller of AWIP, while considering full dynamics terms. The well-known WLR model is used as a simple example of AWIP to accomplish the configuration transformation task. An optimization based configuration transformation algorithm is proposed to realize a comprehensive optimization of the shortest path in joint space and the minimum location drift of WLR on the floor. Finally, the effectiveness of the proposed algorithm is demonstrated through simulation to implement the configuration transformation task.",https://ieeexplore.ieee.org/document/9560781/
 Online Lidar-SLAM for Legged Robots with Robust Registration and Deep-Learned Loop Closure,"In this paper, we present a 3D factor-graph LiDAR-SLAM system which incorporates a state-of-the-art deeply learned feature-based loop closure detector to enable a legged robot to localize and map in industrial environments. Point clouds are accumulated using an inertial-kinematic state estimator before being aligned using ICP registration. To close loops we use a loop proposal mechanism which matches individual segments between clouds. We trained a descriptor offline to match these segments. The efficiency of our method comes from carefully designing the network architecture to minimize the number of parameters such that this deep learning method can be deployed in real-time using only the CPU of a legged robot, a major contribution of this work. The set of odometry and loop closure factors are updated using pose graph optimization. Finally we present an efficient risk alignment prediction method which verifies the reliability of the registrations. Experimental results at an industrial facility demonstrated the robustness and flexibility of our system, including autonomous following paths derived from the SLAM map.",https://ieeexplore.ieee.org/document/9196769/
Preintegrated Velocity Bias Estimation to Overcome Contact Nonlinearities in Legged Robot Odometry,"In this paper, we present a novel factor graph formulation to estimate the pose and velocity of a quadruped robot on slippery and deformable terrain. The factor graph introduces a preintegrated velocity factor that incorporates velocity inputs from leg odometry and also estimates related biases. From our experimentation we have seen that it is difficult to model uncertainties at the contact point such as slip or deforming terrain, as well as leg flexibility. To accommodate for these effects and to minimize leg odometry drift, we extend the robot's state vector with a bias term for this preintegrated velocity factor. The bias term can be accurately estimated thanks to the tight fusion of the preintegrated velocity factor with stereo vision and IMU factors, without which it would be unobservable. The system has been validated on several scenarios that involve dynamic motions of the ANYmal robot on loose rocks, slopes and muddy ground. We demonstrate a 26% improvement of relative pose error compared to our previous work and 52% compared to a state-of-the-art proprioceptive state estimator.",https://ieeexplore.ieee.org/document/9197214/
High-Flexibility Locomotion and Whole-Torso Control for a Wheel-Legged Robot on Challenging Terrain,"In this paper, we propose a parallel six-wheel-legged robot that can traverse irregular terrain while carrying objectives to do heavy-duty work. This robot is equipped with six Stewart platforms as legs and tightly integrates the additional degrees of freedom introduced by the wheels. The presented control strategy with physical system used to adapt the diverse degrees of each leg to irregular terrain such that robot increases the traversability, and simultaneously to maintain the horizontal whole-torso pose. This strategy makes use of Contact Scheduler (CS) and Whole-Torso Control (WTC) to control the multiple degrees of freedom (DOF) leg for performing high-flexibility locomotion and adapting the rough terrain like actively parallel suspension system. We conducted experiments on flat, slope, soft and sand-gravel surface, which validate the proposed control method and physical system. Especially, we attempt to traverse over sand-gravel terrain with 3 people about 240kg payload.",https://ieeexplore.ieee.org/document/9197526/
The Dynamic Effect of Mechanical Losses of Transmissions on the Equations of Motion of Legged  Robots,"Industrial manipulators do not collapse under their own weight when powered off due to the friction in their joints. Although these mechanism are effective for stiff position control of pick-and-place, they are inappropriate for legged robots that must rapidly regulate compliant interactions with the environment. However, no metric exists to quantify the robot’s performance degradation due to mechanical losses in the actuators and transmissions. This paper provides a fundamental formulation that uses the mechanical efficiency of transmissions to quantify the effect of power losses in the mechanical transmissions on the dynamics of a whole robotic system. We quantitatively demonstrate the intuitive fact that the apparent inertia of the robots increase in the presence of joint friction. We also show that robots that employ high gear ratio and low efficiency transmissions can statically sustain more substantial external loads. We expect that the framework presented here will provide the fundamental tools for designing the next generation of legged robots that can effectively interact with the world.",https://ieeexplore.ieee.org/document/9561739/
Dynamics Consensus between Centroidal and Whole-Body Models in Locomotion of Legged Robots,"It is nowadays well-established that locomotion can be written as a large and complex optimal control problem. Yet, current knowledge in numerical solver fails to directly solve it. A common approach is to cut the dimensionality by relying on reduced models (inverted pendulum, capture points, centroidal). However it is difficult both to account for whole-body constraints at the reduced level and also to define what is an acceptable trade-off at the whole-body level between tracking the reduced solution or searching for a new one. The main contribution of this paper is to introduce a rigorous mathematical framework based on the Alternating Direction Method of Multipliers, to enforce the consensus between the centroidal state dynamics at reduced and whole-body level. We propose an exact splitting of the whole-body optimal control problem between the centroidal dynamics (under-actuation) and the manipulator dynamics (full actuation), corresponding to a re-arrangement of the equations already stated in previous works. We then describe with details how alternating descent is a good solution to implement an effective locomotion solver. We validate this approach in simulation with walking experiments on the HRP-2 robot.",https://ieeexplore.ieee.org/document/8793878/
Rapidly Adaptable Legged Robots Via Evolutionary Meta-Learning,"Learning adaptable policies is crucial for robots to operate autonomously in our complex and quickly changing world. In this work, we present a new meta-learning method that allows robots to quickly adapt to changes in dynamics. In contrast to gradient-based meta-learning algorithms that rely on second-order gradient estimation, we introduce a more noise-tolerant Batch Hill-Climbing adaptation operator and combine it with meta-learning based on evolutionary strategies. Our method significantly improves adaptation to changes in dynamics in high noise settings, which are common in robotics applications. We validate our approach on a quadruped robot that learns to walk while subject to changes in dynamics. We observe that our method significantly outperforms prior gradient-based approaches, enabling the robot to adapt its policy to changes based on less than 3 minutes of real data.",https://ieeexplore.ieee.org/document/9341571/
Walking Posture Adaptation for Legged Robot Navigation in Confined Spaces,"Legged robots have the ability to adapt their walking posture to navigate confined spaces due to their high degrees of freedom. However, this has not been exploited in most common multilegged platforms. This letter presents a deformable bounding box abstraction of the robot model, with accompanying mapping and planning strategies, that enable a legged robot to autonomously change its body shape to navigate confined spaces. The mapping is achieved using robot-centric multi-elevation maps generated with distance sensors carried by the robot. The path planning is based on the trajectory optimization algorithm CHOMP that creates smooth trajectories while avoiding obstacles. The proposed method has been tested in simulation and implemented on the hexapod robot Weaver, which is 33 cm tall and 82 cm wide when walking normally. We demonstrate navigating under 25 cm overhanging obstacles, through 70 cm wide gaps and over 22 cm high obstacles in both artificial testing spaces and realistic environments, including a subterranean mining tunnel.",https://ieeexplore.ieee.org/document/8642939/
Robust Legged Robot State Estimation Using Factor Graph Optimization,"Legged robots, specifically quadrupeds, are becoming increasingly attractive for industrial applications such as inspection. However, to leave the laboratory and to become useful to an end user requires reliability in harsh conditions. From the perspective of state estimation, it is essential to be able to accurately estimate the robot's state despite challenges such as uneven or slippery terrain, textureless and reflective scenes, as well as dynamic camera occlusions. We are motivated to reduce the dependency on foot contact classifications, which fail when slipping, and to reduce position drift during dynamic motions such as trotting. To this end, we present a factor graph optimization method for state estimation which tightly fuses and smooths inertial navigation, leg odometry and visual odometry. The effectiveness of the approach is demonstrated using the ANYmal quadruped robot navigating in a realistic outdoor industrial environment. This experiment included trotting, walking, crossing obstacles and ascending a staircase. The proposed approach decreased the relative position error by up to 55% and absolute position error by 76% compared to kinematic-inertial odometry.",https://ieeexplore.ieee.org/document/8790726/
A Passive Hydraulic Auxiliary System Designed for Increasing Legged Robot Payload and  Efficiency,"Load-carrying capability is an essential criterion in legged robots' practical application. This paper proposes an unpowered hydraulic auxiliary system to improve the legged robot's loading capability and energy efficiency. For humans, it has been widely hypothesized that intra-abdominal pressure can reduce potential injurious compressive force imposed on spinal discs when a person lifts heavy objects. Inspired by this human biomechanical phenomenon, we design a novel loading-carrying strategy using hydraulic cylinders, valves and accumulators. Different from ordinary powered hydraulic systems, this design provides continuous support force to share the load applied on knee joint actuator without consuming extra energy. The bent-leg theoretical model is constructed to validate the design and analysis. A bipedal hydraulic-assisted electric leg prototype (HyELeg) is fabricated and tested for squatting and walking gaits. The results show that with hydraulic assistance, the prototype can save energy by 45.9% for squatting with a load of 125% of its own body weight, and the walking performance is enhanced by 16.9% in energy efficiency with carrying a load of 67.5% of its own body weight.",https://ieeexplore.ieee.org/document/9561581/
GaitMesh: Controller-Aware Navigation Meshes for Long-Range Legged Locomotion Planning in Multi-Layered Environments,"Long-range locomotion planning is an important problem for the deployment of legged robots to real scenarios. Current methods used for legged locomotion planning often do not exploit the flexibility of legged robots, and do not scale well with environment size. In this letter we propose the use of navigation meshes for deployment in large-scale multi-floor sites. We leverage this representation to improve long-term locomotion plans in terms of success rates, path costs and reasoning about which gait-controller to use when. We show that NavMeshes have higher planning success rates than sampling-based planners, but are 400x faster to construct and at least 100x faster to plan with. The performance gap further increases when considering multi-floor environments. We present both a procedure for building controller-aware NavMeshes and a full navigation system that adapts to changes to the environment. We demonstrate the capabilities of the system in simulation experiments and in field trials at a real-world oil rig facility.",https://ieeexplore.ieee.org/document/9028233/
Body Lift and Drag for a Legged Millirobot in Compliant Beam Environment,"Much current study of legged locomotion has rightly focused on foot traction forces, including on granular media. Future legged millirobots will need to go through terrain, such as brush or other vegetation, where the body contact forces significantly affect locomotion. In this work, a (previously developed) low-cost 6-axis force/torque sensing shell is used to measure the interaction forces between a hexapedal millirobot and a set of compliant beams, which act as a surrogate for a densely cluttered environment. Experiments with a VelociRoACH robotic platform are used to measure lift and drag forces on the tactile shell, where negative lift forces can increase traction, even while drag forces increase. The drag energy and specific resistance required to pass through dense terrains can be measured. Furthermore, some contact between the robot and the compliant beams can lower specific resistance of locomotion. For small, light-weight legged robots in the beam environment, the body motion depends on both legground and body-beam forces. A shell-shape which reduces drag but increases negative lift, such as the half-ellipsoid used, is suggested to be advantageous for robot locomotion in this type of environment.",https://ieeexplore.ieee.org/document/8793597/
Sparse Optimization of Contact Forces for Balancing Control of Multi-Legged Humanoids,"Multi-legged humanoid platforms present an inherent redundancy in the number of end-effectors required to perform interaction tasks, such as balancing and manipulation. The most relevant possibility opened up by end-effector redundancy consists in using a subset of the available end-effectors to perform a primary task, while employing the remaining end-effectors to perform a secondary tasks. As a consequence, it necessarily requires a methodology to automatically find the smallest set of end-effectors required to perform a primary task. For the balancing control of a torque-controlled humanoid, this is equivalent to finding a sparse solution of a contact force distribution problem. To this end, two different sparse optimization approaches are presented and extensively discussed in this work. The effectiveness of the proposed approaches has been validated on a simulated model of the CENTAURO robot developed at the Istituto Italiano di Tecnologia.",https://ieeexplore.ieee.org/document/8620532/
Probe-Before-Step Walking Strategy for Multi-Legged Robots on Terrain with Risk of Collapse,"Multi-legged robots are effective at traversing rough terrain. However, terrains that include collapsible footholds (i.e. regions that can collapse when stepped on) remain a significant challenge, especially since such situations can be extremely difficult to anticipate using only exteroceptive sensing. State-of-the-art methods typically use various stabilisation techniques to regain balance and counter changing footholds. However, these methods are likely to fail if safe footholds are sparse and spread out or if the robot does not respond quickly enough after a foothold collapse. This paper presents a novel method for multi-legged robots to probe and test the terrain for collapses using its legs while walking. The proposed method improves on existing terrain probing approaches, and integrates the probing action into a walking cycle. A follow-the-leader strategy with a suitable gait and stance is presented and implemented on a hexapod robot. The proposed method is experimentally validated, demonstrating the robot can safely traverse terrain containing collapsible footholds.",https://ieeexplore.ieee.org/document/9197154/
Extracting Legged Locomotion Heuristics with Regularized Predictive Control,"Optimization based predictive control is a powerful tool that has improved the ability of legged robots to execute dynamic maneuvers and traverse increasingly difficult terrains. However, it is often challenging and unintuitive to design meaningful cost functions and build high-fidelity models while adhering to timing restrictions. A novel framework to extract and design principled regularization heuristics for legged locomotion optimization control is presented. By allowing a simulation to fully explore the cost space offline, certain states and actions can be constrained or isolated. Data is fit with simple models relating the desired commands, optimal control actions, and robot states to identify new heuristic candidates. Basic parameter learning and adaptation laws are then applied to the models online. This method extracts simple, but powerful heuristics that can approximate complex dynamics and account for errors stemming from model simplifications and parameter uncertainty without the loss of physical intuition while generalizing the parameter tuning process. Results on the Mini Cheetah robot verify the increased capabilities due to the newly extracted heuristics without any modification to the controller structure or gains.",https://ieeexplore.ieee.org/document/9197488/
