name,abs,link
Haptic Inspection of Planetary Soils with Legged Robots,"Planetary exploration robots encounter challenging terrain during operation. Vision-based approaches have failed to reliably predict soil characteristics in the past, making it necessary to probe the terrain tactilely. We present a robust, haptic inspection approach for a variety of fine, granular media, which are representative of Martian soil. In our approach, the robot uses one limb to perform an impact trajectory, while supporting the main body with the remaining three legs. The resulting vibration, which is recorded by sensors placed in the foot, is decomposed using the discrete wavelet transform and assigned a soil class by a support vector machine. We tested two foot designs and validated the robustness of this approach through the extensive use of an open-source dataset, which we recorded on a specially designed single-foot testbed. A remarkable overall classification accuracy of more than 98% could be achieved despite various introduced disturbances. The contributions of different sensors to the classification performance are evaluated. Finally, we test the generalization performance on unknown soils and show that the interaction behavior can be anticipated.",https://ieeexplore.ieee.org/document/8630524/
Combined Sampling and Optimization Based Planning for Legged-Wheeled Robots,"Planning for legged-wheeled machines is typically done using trajectory optimization because of many degrees of freedom, thus rendering legged-wheeled planners prone to falling prey to bad local minima. We present a combined sampling and optimization-based planning approach that can cope with challenging terrain. The sampling-based stage computes whole-body configurations and contact schedule, which speeds up the optimization convergence. The optimization-based stage ensures that all the system constraints, such as non-holonomic rolling constraints, are satisfied. The evaluations show the importance of good initial guesses for optimization. Furthermore, they suggest that terrain/collision (avoidance) constraints are more challenging than the robot model’s constraints. Lastly, we extend the optimization to handle general terrain representations in the form of elevation maps.",https://ieeexplore.ieee.org/document/9560731/
Online Optimal Impedance Planning for Legged Robots,"Real world applications require robots to operate in unstructured environments. This kind of scenarios may lead to unexpected environmental contacts or undesired interactions, which may harm people or impair the robot. Adjusting the behavior of the system through impedance control techniques is an effective solution to these problems. However, selecting an adequate impedance is not a straightforward process. Normally, robot users manually tune the controller gains with trial and error methods. This approach is generally slow and requires practice. Moreover, complex tasks may require different impedance during different phases of the task. This paper introduces an optimization algorithm for online planning of the Cartesian robot impedance to adapt to changes in the task, robot configuration, expected disturbances, external environment and desired performance, without employing any direct force measurements. We provide an analytical solution leveraging the mass-spring-damper behavior that is conferred to the robot body by the Cartesian impedance controller. Stability during gains variation is also guaranteed. The effectiveness of the method is experimentally validated on the quadrupedal robot ANYmal. The variable impedance helps the robot to tackle challenging scenarios like walking on rough terrain and colliding with an obstacle.",https://ieeexplore.ieee.org/document/8967696/
Restoring Force Design of Active Self-Healing Tension Transmission System and Application to  Tendon-Driven Legged Robot,"Self-healing function is a promising approach for damage management of high-load robot applications such as legged robots. Although the function is getting major in soft robotics, its application to life-sized ""stiff"" robots is of relatively minor interest. Although the authors have devised several self-healing tensile modules for tendon-driven robots, the design guideline to satisfy the large load endurance and large stroke is still unclear. The paper focuses on the parametric design for unleaked liquid-assisted healing of low melting point alloy structure. The method was validated with a benchtop module test. Moreover, the module enabled tendon-driven monopod testbed to perform squat motion three times after the landing impact fracture and the self-healing sequence, which was never accomplished.",https://ieeexplore.ieee.org/document/9561531/
An Approach of Facilitated Investigation of Active Self-healing Tension Transmission System Oriented for Legged Robots,"Self-healing robotics has been of considerable interest. We believe the function will have a major role in legged robots as a typical high-load application of robotics. Some pioneering works have been ongoing on self-healing soft robots. However, the development of large load self-healing component and its system integration with a life-sized legged robot is a challenging task. This study is to try the problem by a constructing self-healing component oriented for facilitated investigation. Proposed part enhances visibility and manufacturing by specializing tension transmission system. The developed module was evaluated by several experiments. First, healing visualization experiment was conducted to evaluate healing progress. In addition, the module's strength was tested using a motor-driven tendon module previously developed in our laboratory. Results of these experiments suggested that the stirring process have a major role in performing self-healing behaviour. Finally, we conducted a preliminary experiment on a tendon-driven legged robot. The experiment demonstrated that the module functioned in a real robot once.",https://ieeexplore.ieee.org/document/8967949/
on the Hardware Feasibility of Nonlinear Trajectory Optimization for Legged Locomotion Based on a Simplified Dynamics,"Simplified models are useful to increase the computational efficiency of a motion planning algorithm, but their lack of accuracy have to be managed. We propose two feasibility constraints to be included in a Single Rigid Body Dynamics-based trajectory optimizer in order to obtain robust motions in challenging terrain. The first one finds an approximate relationship between joint-torque limits and admissible contact forces, without requiring the joint positions. The second one proposes a leg model to prevent leg collision with the environment. Such constraints have been included in a simplified nonlinear non-convex trajectory optimization problem. We demonstrate the feasibility of the resulting motion plans both in simulation and on the Hydraulically actuated Quadruped (HyQ) robot, considering experiments on an irregular terrain.",https://ieeexplore.ieee.org/document/9196903/
Stair Climbing Capability-Based Dimensional Synthesis for the Multi-Legged Robot,"Staircase is a typical obstacle for the legged robot to overcome in buildings. This paper studies the stair climbing capability-based dimensional synthesis for a hexapod legged robot, i.e., exploring how to determine the leg length and the longitudinal body length concerning the target staircase in the mechanical design stage. In climbing a staircase, leg-staircase interference is one of the predominant issues. The three possible interference cases are illustrated in detail with a 2-DOF (degree of freedom) leg mechanism and the staircase size, based on the predefined tripod gait sequence. The mathematical relationships between the leg length, longitudinal body length, and the target staircase size are derived. The leg length and the body length are finally determined with the target staircase size. The virtual simulations and prototype experiments verify the effectiveness of the dimensional synthesis for the hexapod robot.",https://ieeexplore.ieee.org/document/9562004/
Line Walking and Balancing for Legged Robots with Point Feet,"The ability of legged systems to traverse highly- constrained environments depends by and large on the performance of their motion and balance controllers. This paper presents a controller that excels in a scenario that most state- of-the-art balance controllers have not yet addressed: line walking, or walking on nearly null support regions. Our approach uses a low-dimensional virtual model (2-DoF) to generate balancing actions through a previously derived four- term balance controller and transforms them to the robot through a derived kinematic mapping. The capabilities of this controller are tested in simulation, where we show the 90kg quadruped robot HyQ crossing a bridge of only 6 cm width (compared to its 4 cm diameter spherical foot), by balancing on two feet at any time while moving along a line. Additional simulations are carried to test the performance of the controller and the effect of external disturbances. Lastly, we present our preliminary experimental results showing HyQ balancing on two legs while being disturbed.",https://ieeexplore.ieee.org/document/9341743/
Feedback MPC for Torque-Controlled Legged Robots,"The computational power of mobile robots is currently insufficient to achieve torque level whole-body Model Predictive Control (MPC) at the update rates required for complex dynamic systems such as legged robots. This problem is commonly circumvented by using a fast tracking controller to compensate for model errors between updates. In this work, we show that the feedback policy from a Differential Dynamic Programming (DDP) based MPC algorithm is a viable alternative to bridge the gap between the low MPC update rate and the actuation command rate. We propose to augment the DDP approach with a relaxed barrier function to address inequality constraints arising from the friction cone. A frequency-dependent cost function is used to reduce the sensitivity to high-frequency model errors and actuator bandwidth limits. We demonstrate that our approach can find stable locomotion policies for the torque-controlled quadruped, ANYmal, both in simulation and on hardware.",https://ieeexplore.ieee.org/document/8968251/
Dynamic Legged Manipulation of a Ball through Multi-Contact Optimization,"The feet of robots are typically used to design locomotion strategies, such as balancing, walking, and running. However, they also have great potential to perform manipulation tasks. In this paper, we propose a model predictive control (MPC) framework for a quadrupedal robot to dynamically balance on a ball and simultaneously manipulate it to follow various trajectories such as straight lines, sinusoids, circles and in-place turning. We numerically validate our controller on the Mini Cheetah robot using different gaits including trotting, bounding, and pronking on the ball.",https://ieeexplore.ieee.org/document/9341218/
Reactive Support Polygon Adaptation for the Hybrid Legged-Wheeled CENTAURO Robot,"The need for robots operating in the real-world has sparked interest in hybrid locomotion that combines the versatile legged mobility with a simpler wheeled motion. The use of legged-wheeled robots in complex real-world scenarios requires controllers that will capitalise on this flexibility. In this work, a reactive control scheme that exploits wheels steering and robot articulated legs is proposed to continuously adjust the robot support polygon (SP) in response to unknown disturbances. The designed cartesian-space control is expressed in the joint-space to account for the hardware limits. To tackle the non-holonomy in the joint-space model, the linear velocity/acceleration-based model is developed for the general legged-wheeled platform and applied to resolve the SP adaptation of a platform with steerable wheels. The proposed control is experimentally verified on the CENTAURO robot, demonstrating the SP adjustment when external disturbances are applied.",https://ieeexplore.ieee.org/document/8972392/
A Coordinate-Based Approach for Static Balancing and Walking Control of Compliantly Actuated Legged Robots,"The paper addresses the static balancing and walking of elastically actuated legged robots. The control is realized by commanding the motor positions only and exploiting the bijective relation between motor and link positions at equilibrium under static external forces. The approach is formulated in a quite general framework first. The main implementation contribution is the definition of a body coordinate system and of an appropriate set of constraints, which leads to a fully determined system of equations. In addition to the desired COM and the vertical foot positions, which are defined by the walking task and the terrain, the imposed constraints are related to distances between individual legs. The controller is experimentally validated on a compliantly actuated quadruped.",https://ieeexplore.ieee.org/document/8793920/
Multi-Layered Safety for Legged Robots Via Control Barrier Functions and Model Predictive Control,"The problem of dynamic locomotion over rough terrain requires both accurate foot placement together with an emphasis on dynamic stability. Existing approaches to this problem prioritize immediate safe foot placement over longer term dynamic stability considerations, or relegate the coordination of foot placement and dynamic stability to heuristic methods. We propose a multi-layered locomotion framework that unifies Control Barrier Functions (CBFs) with Model Predictive Control (MPC) to simultaneously achieve safe foot placement and dynamic stability. Our approach incorporates CBF based safety constraints both in a low frequency kinodynamic MPC formulation and a high frequency inverse dynamics tracking controller. This ensures that safety-critical execution is considered when optimizing locomotion over a longer horizon. We validate the proposed method in a 3D stepping-stone scenario in simulation and experimentally on the ANYmal quadruped platform.",https://ieeexplore.ieee.org/document/9561510/
Hybrid Systems Differential Dynamic Programming for Whole-Body Motion Planning of Legged Robots,"This letter presents a Differential Dynamic Programming (DDP) framework for trajectory optimization (TO) of hybrid systems with state-based switching. The proposed Hybrid Systems DDP (HS-DDP) approach is considered for application to whole-body motion planning with legged robots. Specifically, HS-DDP incorporates three algorithmic advances: an impact-aware DDP step addressing the impact event in legged locomotion, an Augmented Lagrangian (AL) method dealing with the switching constraint, and a Switching Time Optimization (STO) algorithm that optimizes switching times by leveraging the structure of DDP. Further, a Relaxed Barrier (ReB) method is used to manage inequality constraints and is integrated into HS-DDP for locomotion planning. The performance of the developed algorithms is benchmarked on a simulation model of the MIT Mini Cheetah executing a bounding gait. We demonstrate the effectiveness of AL and ReB for handling switching constraints, friction constraints, and torque limits. By comparing to previous solutions, we show that the STO algorithm achieves 2.3 times more reduction of total switching times, demonstrating the efficiency of our method.",https://ieeexplore.ieee.org/document/9134911/
Towards More Possibilities: Motion Planning and Control for Hybrid Locomotion of Wheeled-Legged Robots,"This letter proposed a control framework to tackle the hybrid locomotion problem of wheeled-legged robots. It comes as a hierarchical structure with three layers: hybrid foot placement planning, Centre of Mass (CoM) trajectory optimization and whole-body control. General mathematical representation of foot movement is developed to analyze different motion modes and decide hybrid foot placements. Gait graph widely used in legged locomotion is extended to better describe the hybrid movement by adding extra foot velocity information. Thereafter, model predictive control is introduced to optimize the CoM trajectory based on the planned foot placements considering terrain height changing. The desired trajectories together with other kinematic and dynamic constraints are fed into a whole-body controller to produce joint commands. In the end, the feasibility of the proposed approach is demonstrated by the simulation and experiments of hybrid locomotion running on our wheeled quadrupedal robot Pholus.",https://ieeexplore.ieee.org/document/9028198/
State Estimation for Hybrid Wheeled-Legged Robots Performing Mobile Manipulation Tasks,"This paper introduces a general state estimation framework fusing multiple sensor information for hybrid wheeled-legged robots performing mobile manipulation tasks. At the core of the state estimator is a novel unified odometry for hybrid locomotion which can seamlessly maintain tracking and has no need to switch between stepping and rolling modes. To the best of our knowledge, the proposed odometry is the first work in this area. It is calculated based on the robot kinematics and instantaneous contact points of wheels with sensor inputs from IMU, joint encoders, joint torque sensors estimating wheel contact status, as well as RGB-D camera detecting geometric features of the terrain (e.g. elevation and surface normal vector). Subsequently, the odometry output is utilized as the motion model of a 3D Lidar map-based Monte Carlo Localization module for drift-free state estimation. As part of the framework, visual localization is integrated to provide high precision guidance for the robot movement relative to an object of interest. The proposed approach was verified thoroughly by two experiments conducted on the Pholus robot with OptiTrack measurements as ground truth.",https://ieeexplore.ieee.org/document/9560948/
Balance Control of a Novel Wheel-Legged Robot: Design and Experiments,"This paper presents a balance control technique for a novel wheel-legged robot. We first derive a dynamic model of the robot and then apply a linear feedback controller based on output regulation and linear quadratic regulator (LQR) methods to maintain the standing of the robot on the ground without moving backward and forward mightily. To take into account nonlinearities of the model and obtain a large domain of stability, a nonlinear controller based on the interconnection and damping assignment - passivity-based control (IDA-PBC) method is exploited to control the robot in more general scenarios. Physical experiments are performed with various control tasks. Experimental results demonstrate that the proposed linear output regulator can maintain the standing of the robot, while the proposed nonlinear controller can balance the robot under an initial starting angle far away from the equilibrium point, or under a changing robot height.",https://ieeexplore.ieee.org/document/9561579/
Computational Design of Energy-Efficient Legged Robots: Optimizing for Size and Actuators,"This paper presents a computational framework for the design of high-performance legged robotic systems. The framework relies on the concurrent optimization of hardware parameters and control trajectories to find the best robot design for a given task. In particular, we focus on energy efficiency, presenting novel electro-mechanical models to account for the losses of the actuators due to friction and Joule effects. Thanks to a bi-level optimization scheme, featuring a genetic algorithm in the outer loop, our framework can also optimize for the duration of the motion, the actuators, and the size of the robot. We present a novel approach to scale both the actuators and the robot structure in a way that ensures structural integrity by maintaining constant the normalized deflection of the links. We validated our approach by designing a two-joint monoped robot to execute a jumping task. Our simulation results show that our framework can lead to remarkable energy savings (up to 60%) thanks to the concurrent optimization of robot size, motion duration, and actuators.",https://ieeexplore.ieee.org/document/9560988/
Real-Time Constrained Nonlinear Model Predictive Control on SO(3) for Dynamic Legged Locomotion,"This paper presents a constrained nonlinear model predictive control (NMPC) framework for legged locomotion. The framework assumes a legged robot as a floating base single rigid body with contact forces being applied to the body as external forces. With consideration of orientation dynamics evolving on the rotation manifold SO(3), analytic Jacobians which are necessary for constructing the gradient and the Gauss-Newton Hessian approximation of the objective function are derived. This procedure also includes the reparameterization of the robot orientation on SO(3) to orientation error in the tangent space of that manifold. Obtained gradient and Gauss-Newton Hessian approximation are utilized to solve nonlinear least squares problems formulated from NMPC in a computationally efficient manner. The proposed algorithm is verified on various types of legged robots and gaits in a simulation environment.",https://ieeexplore.ieee.org/document/9341447/
Real-Time Constrained Nonlinear Model Predictive Control on SO(3) for Dynamic Legged Locomotion,"This paper presents a constrained nonlinear model predictive control (NMPC) framework for legged locomotion. The framework assumes a legged robot as a floating base single rigid body with contact forces being applied to the body as external forces. With consideration of orientation dynamics evolving on the rotation manifold SO(3), analytic Jacobians which are necessary for constructing the gradient and the Gauss-Newton Hessian approximation of the objective function are derived. This procedure also includes the reparameterization of the robot orientation on SO(3) to orientation error in the tangent space of that manifold. Obtained gradient and Gauss-Newton Hessian approximation are utilized to solve nonlinear least squares problems formulated from NMPC in a computationally efficient manner. The proposed algorithm is verified on various types of legged robots and gaits in a simulation environment.",https://ieeexplore.ieee.org/document/9341447/
A Legged Soft Robot Platform for Dynamic Locomotion,"This paper presents an open-source untethered quadrupedal soft robot platform for dynamic locomotion (e.g., high-speed running and backflipping). The robot is mostly soft (80 vol.%) while driven by four geared servo motors. The robot’s soft body and soft legs were 3D printed with gyroid infill using a flexible material, enabling it to conform to the environment and passively stabilize during locomotion in multi-terrain environments. In addition, we simulated the robot in a real-time soft body simulation. With tuned gaits in simulation, the real robot can locomote at a speed of 0.9 m/s (2.5 body length/second), substantially faster than most untethered legged soft robots published to date. We hope this platform, along with its verified simulator, can catalyze agile soft robots' development.",https://ieeexplore.ieee.org/document/9561018/
A Model-Free Solution for Stable Balancing and Locomotion of Floating-Base Legged Systems,"This paper presents novel control techniques for passivation and stabilisation of floating-base systems with contacts, whose dynamical models comprise both joint-space, and Cartesian floating-base coordinates. The aforementioned results are achieved using both minimally model-based, and completely model-free controllers that employ power-shaping signals. Model-free control is permitted through usage of a decoupled dynamical model, procured via coordinate transformation operations. It is demonstrated that even though passive closed-loop systems are attainable without utilisation of exteroceptive feedback, global stabilisation of a floating-base robot necessitates direct usage of either measured or estimated external forces. The presented asymptotical stabilisation results pertain to both the set-point regulation, and trajectory-tracking cases, thereby ensuring suitability for static balancing, and dynamical locomotion tasks. To ensure practicability and production of feasible input signals, a variable impedance control, power-shaping term is appended to the original design, wherein it circumstantially serves as either a power-dissipating, or power-injecting element. This enhancement provably preserves closed-loop stability, by appositely shaping the system's power. Experiments involving a metamorphic, quadrupedal walking robot, corroborate the theoretical analysis, as they attest to the system's ability to stably execute locomotory tasks using a single, unified, model-free control scheme.",https://ieeexplore.ieee.org/document/9341255/
Kinodynamic Motion Planning for Multi-Legged Robot Jumping Via Mixed-Integer Convex Program,"This paper proposes a kinodynamic motion plan-ning framework for multi-legged robot jumping based on the mixed-integer convex program (MICP), which simultaneously reasons about centroidal motion, contact points, wrench, and gait sequences. This method uniquely combines configuration space discretization and the construction of feasible wrench polytope (FWP) to encode kinematic constraints, actuator limit, friction cone constraint, and gait sequencing into a single MICP. The MICP could be efficiently solved to the global optimum by off-the-shelf numerical solvers and provide highly dynamic jumping motions without requiring initial guesses. Simulation and experimental results demonstrate that the proposed method could find novel and dexterous maneuvers that are directly deployable on the two-legged robot platform to traverse through challenging terrains.",https://ieeexplore.ieee.org/document/9341572/
Autonomous Spot: Long-Range Autonomous Exploration of Extreme Environments with Legged Locomotion,"This paper serves as one of the first efforts to enable large-scale and long-duration autonomy using the Boston Dynamics Spot robot. Motivated by exploring extreme environments, particularly those involved in the DARPA Subterranean Challenge, this paper pushes the boundaries of the state-of-practice in enabling legged robotic systems to accomplish real-world complex missions in relevant scenarios. In particular, we discuss the behaviors and capabilities which emerge from the integration of the autonomy architecture NeBula (Networked Belief-aware Perceptual Autonomy) with next-generation mobility systems. We will discuss the hardware and software challenges, and solutions in mobility, perception, autonomy, and very briefly, wireless networking, as well as lessons learned and future directions. We demonstrate the performance of the proposed solutions on physical systems in real-world scenarios.
<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup>
 The proposed solution contributed to winning 1st-place in the 2020 DARPA Subterranean Challenge, Urban Circuit.
<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">4</sup>",https://ieeexplore.ieee.org/document/9341361/
Autonomous Spot: Long-Range Autonomous Exploration of Extreme Environments with Legged Locomotion,"This paper serves as one of the first efforts to enable large-scale and long-duration autonomy using the Boston Dynamics Spot robot. Motivated by exploring extreme environments, particularly those involved in the DARPA Subterranean Challenge, this paper pushes the boundaries of the state-of-practice in enabling legged robotic systems to accomplish real-world complex missions in relevant scenarios. In particular, we discuss the behaviors and capabilities which emerge from the integration of the autonomy architecture NeBula (Networked Belief-aware Perceptual Autonomy) with next-generation mobility systems. We will discuss the hardware and software challenges, and solutions in mobility, perception, autonomy, and very briefly, wireless networking, as well as lessons learned and future directions. We demonstrate the performance of the proposed solutions on physical systems in real-world scenarios.
<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup>
 The proposed solution contributed to winning 1st-place in the 2020 DARPA Subterranean Challenge, Urban Circuit.
<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">4</sup>",https://ieeexplore.ieee.org/document/9341361/
Fast Global Motion Planning for Dynamic Legged Robots,"This work presents a motion planning algorithm for legged robots capable of constructing long-horizon dynamic plans in real-time. Many existing methods use models that prohibit flight phases or even require static stability, while those that permit these dynamics often plan over short horizons or take minutes to compute. The algorithm presented here resolves these issues through a reduced-order dynamical model that handles motion primitives with stance and flight phases and supports an RRT-Connect framework for rapid exploration. Kinematic and dynamic constraint approximations are computed efficiently and validated with a whole-body trajectory optimization. The algorithm is tested over challenging terrain requiring long planning horizons and dynamic motions in seconds - an order of magnitude faster than existing methods. The speed and global nature of the planner offer a new level of autonomy for legged robot applications.",https://ieeexplore.ieee.org/document/9341438/
Collision-Free MPC for Legged Robots in Static and Dynamic Scenes,"We present a model predictive controller (MPC) that automatically discovers collision-free locomotion while simultaneously taking into account the system dynamics, friction constraints, and kinematic limitations. A relaxed barrier function is added to the optimization’s cost function, leading to collision avoidance behavior without increasing the problem’s computational complexity. Our holistic approach does not require any heuristics and enables legged robots to find whole-body motions in the presence of static and dynamic obstacles. We use a dynamically generated euclidean signed distance field for static collision checking. Collision checking for dynamic obstacles is modeled with moving cylinders, increasing the responsiveness to fast-moving agents. Furthermore, we include a Kalman filter motion prediction for moving obstacles into our receding horizon planning, enabling the robot to anticipate possible future collisions. Our experiments
<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">1</sup>
 demonstrate collision-free motions on a quadrupedal robot in challenging indoor environments. The robot handles complex scenes like overhanging obstacles and dynamic agents by exploring motions at the robot’s dynamic and kinematic limits.",https://ieeexplore.ieee.org/document/9561326/
An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research,"We present a new open-source torque-controlled legged robot system, with a low-cost and low-complexity actuator module at its core. It consists of a high-torque brushless DC motor and a low-gear-ratio transmission suitable for impedance and force control. We also present a novel foot contact sensor suitable for legged locomotion with hard impacts. A 2.2 kg quadruped robot with a large range of motion is assembled from eight identical actuator modules and four lower legs with foot contact sensors. Leveraging standard plastic 3D printing and off-the-shelf parts results in a lightweight and inexpensive robot, allowing for rapid distribution and duplication within the research community. We systematically characterize the achieved impedance at the foot in both static and dynamic scenarios, and measure a maximum dimensionless leg stiffness of 10.8 without active damping, which is comparable to the leg stiffness of a running human. Finally, to demonstrate the capabilities of the quadruped, we present a novel controller which combines feedforward contact forces computed from a kino-dynamic optimizer with impedance control of the center of mass and base orientation. The controller can regulate complex motions while being robust to environmental uncertainty.",https://ieeexplore.ieee.org/document/9015985/
Feedback Motion Planning of Legged Robots by Composing Orbital Lyapunov Functions Using Rapidly-Exploring Random Trees,"We present a sampling-based framework for feedback motion planning of legged robots. Our framework is based on switching between limit cycles at a fixed instance of motion, the Poincaré section (e.g., apex or touchdown), by finding overlaps between the regions of attraction (ROA) of two limit cycles. First, we assume a candidate orbital Lyapunov function (OLF) and define a ROA at the Poincaré section. Next, we solve multiple trajectory optimization problems, one for each sampled initial condition on the ROA to minimize an energy metric and subject to the exponential convergence of the OLF between two steps. The result is a table of control actions and the corresponding initial conditions at the Poincaré section. Then we develop a control policy for each control action as a function of the initial condition using deep learning neural networks. The control policy is validated by testing on initial conditions sampled on ROA of randomly chosen limit cycles. Finally, the rapidly-exploring random tree algorithm is adopted to plan transitions between the limit cycles using the ROAs. The approach is demonstrated on a hopper model to achieve velocity and height transitions between steps.",https://ieeexplore.ieee.org/document/8793578/
Trajectory Optimization for Wheeled-Legged Quadrupedal Robots Using Linearized ZMP Constraints,"We present a trajectory optimizer for quadrupedal robots with actuated wheels. By solving for angular, vertical, and planar components of the base and feet trajectories in a cascaded fashion and by introducing a novel linear formulation of the zeromoment point balance criterion, we rely on quadratic programming only, thereby eliminating the need for nonlinear optimization routines. Yet, even for gaits containing full flight phases, we are able to generate trajectories for executing complex motions that involve simultaneous driving, walking, and turning. We verified our approach in simulations of the quadrupedal robot ANYmal equipped with wheels, where we are able to run the proposed trajectory optimizer at 50 Hz. To the best of our knowledge, this is the first time that such dynamic motions are demonstrated for wheeled-legged quadrupedal robots using an online motion planner.",https://ieeexplore.ieee.org/document/8630448/
Online Relative Footstep Optimization for Legged Robots Dynamic Walking Using Discrete-Time Model Predictive Control,"We present a unified control framework that generates dynamic walking motions for biped and quadruped robots with online relative footstep optimization. The footstep optimization is formulated as a discrete-time Model Predictive Control problem which determines future footstep locations. The framework has a hierarchical structure consisting of three layers: footstep planner, trajectory generator and whole-body controller. The footstep planner plans next footstep position based on Linear Inverted Pendulum (LIP) model. Relative footstep optimization is proposed to enable automatic footstep planning without the use of any predefined footstep sequences. The trajectory generator will generate CoM and feet trajectory given the next footstep placement. In order to generalize to quadruped robots, “virtual leg” concept has been used to coordinate leg pair movement. The whole-body inverse dynamic controller calculates joint torques to track given Cartesian reference trajectories. To include under-actuation into consideration, contact vertices formulation of ground reaction forces (GRFs) has been adopted. Generalized whole-body controller can handle biped robot with line feet as well as quadruped robots with point feet walking with dynamic gaits. Several simulations have been performed to demonstrate the robustness and generality of the proposed framework.",https://ieeexplore.ieee.org/document/8968028/
Sensitivity of Legged Balance Control to Uncertainties and Sampling Period,"We propose to quantify the effect of sensor and actuator uncertainties on the control of the center of mass and center of pressure in legged robots, since this is central for maintaining their balance with a limited support polygon. Our approach is based on robust control theory, considering uncertainties that can take any value between specified bounds. This provides a principled approach to deciding optimal feedback gains. Surprisingly, our main observation is that the sampling period can be as long as 200 ms with literally no impact on maximum tracking error and, as a result, on the guarantee that balance can be maintained safely. Our findings are validated in simulations and experiments with the torque-controlled humanoid robot Toro developed at DLR. The proposed mathematical derivations and results apply nevertheless equally to biped and quadruped robots.",https://ieeexplore.ieee.org/document/8758907/
ULT-Model: Towards a One-Legged Unified Locomotion Template Model for Forward Hopping with  an Upright Trunk,"While many advancements have been made in the development of template models for describing upright-trunk locomotion, the majority of the effort has been focused on the stance phase. In this paper, we develop a new compact dynamic model as a first step toward a fully unified locomotion template model (ULT-model) of an upright-trunk forward hopping system, which will also require a unified control law in the next step. We demonstrate that all locomotion subfunctions are enabled by adding just a point foot mass and a parallel leg actuator to the well-known trunk SLIP model and that a stable limit cycle can be achieved. This brings us closer toward the ultimate goal of enabling closed-loop dynamics for anchor matching and thus achieving simple, efficient, robust and stable upright-trunk gait control, as observed in biological systems.",https://ieeexplore.ieee.org/document/9560780/
Learning a Centroidal Motion Planner for Legged Locomotion,"Whole-body optimizers have been successful at automatically computing complex dynamic locomotion behaviors. However they are often limited to offline planning as they are computationally too expensive to replan with a high frequency. Simpler models are then typically used for online replanning. In this paper we present a method to generate whole body movements in real-time for locomotion tasks. Our approach consists in learning a centroidal neural network that predicts the desired centroidal motion given the current state of the robot and a desired contact plan. The network is trained using an existing whole body motion optimizer. Our approach enables to learn with few training samples dynamic motions that can be used in a complete whole-body control framework at high frequency, which is usually not attainable with typical full-body optimizers. We demonstrate our method to generate a rich set of walking and jumping motions on a real quadruped robot.",https://ieeexplore.ieee.org/document/9562022/
